"File","Lines"
"src\lib\supabase\database.types.ts","727"
"src\lib\melhor-envio.ts","591"
"src\components\admin\settings\LogisticsSection.tsx","280"
"src\components\admin\ProductBasicInfo.tsx","257"
"src\components\admin\ProductForm.tsx","252"
"src\app\(storefront)\carrinho\components\ShippingSelector.tsx","225"
"src\app\(storefront)\conta\perfil\page.tsx","225"
"src\app\admin\(dashboard)\configuracoes\actions.ts","223"
"src\app\(storefront)\conta\pedidos\[id]\page.tsx","185"
"src\app\(storefront)\actions.ts","179"
"src\app\admin\(dashboard)\categorias\components\CategoryTableRow.tsx","174"
"src\app\admin\(dashboard)\categorias\actions.ts","173"
"src\app\admin\(dashboard)\produtos\actions.ts","171"
"src\app\(storefront)\produto\[id]\page.tsx","164"
"src\app\(storefront)\carrinho\page.tsx","161"
"src\lib\customer-profile.ts","158"
"src\components\ui\dialog.tsx","158"
"src\app\admin\(dashboard)\categorias\components\CategoryManager.tsx","154"
"src\app\admin\(dashboard)\page.tsx","153"
"src\app\admin\(dashboard)\pedidos\components\OrderListClient.tsx","151"
"src\lib\abacatepay.ts","150"
"src\app\(storefront)\search\page.tsx","145"
"src\components\ui\sheet.tsx","143"
"src\app\(storefront)\[slug]\page.tsx","139"
"src\app\(storefront)\carrinho\components\CartSummary.tsx","137"
"src\components\admin\ProductImageManager.tsx","137"
"src\components\admin\settings\ContentSection.tsx","136"
"src\components\admin\settings\BannerSection.tsx","134"
"src\app\(storefront)\conta\login\page.tsx","131"
"src\lib\payment-checkout.ts","128"
"src\app\(storefront)\conta\pedidos\page.tsx","127"
"src\app\admin\(dashboard)\produtos\components\ProductListClient.tsx","127"
"src\app\(storefront)\sucesso\page.tsx","126"
"src\store\useCartStore.ts","120"
"src\components\ui\table.tsx","116"
"src\app\(storefront)\conta\cadastro\page.tsx","113"
"src\styles\theme.css","111"
"src\app\admin\(dashboard)\produtos\components\ProductTable.tsx","108"
"src\app\admin\(dashboard)\produtos\image-actions.ts","107"
"src\lib\store-shipping.ts","106"
"src\app\admin\(dashboard)\pedidos\actions.ts","105"
"src\app\(storefront)\produtos\page.tsx","104"
"src\app\admin\(dashboard)\categorias\components\CategoryForm.tsx","103"
"src\app\admin\(dashboard)\categorias\components\CategoryTable.tsx","103"
"src\app\(storefront)\sucesso\components\StatusSummary.tsx","102"
