"Path","Lines"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\lib\supabase\database.types.ts","727"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\conta\perfil\page.tsx","225"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\lib\melhor-envio\auth.ts","206"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\conta\pedidos\[id]\page.tsx","185"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\actions.ts","179"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\categorias\components\CategoryTableRow.tsx","174"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\categorias\actions.ts","173"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\produtos\actions.ts","171"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\produto\[id]\page.tsx","164"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\carrinho\page.tsx","161"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\lib\customer-profile.ts","158"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\components\ui\dialog.tsx","158"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\categorias\components\CategoryManager.tsx","154"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\page.tsx","153"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\pedidos\components\OrderListClient.tsx","151"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\lib\abacatepay.ts","150"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\search\page.tsx","145"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\components\ui\sheet.tsx","143"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\[slug]\page.tsx","139"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\components\admin\ProductImageManager.tsx","137"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\carrinho\components\CartSummary.tsx","137"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\components\admin\settings\ContentSection.tsx","136"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\components\admin\settings\BannerSection.tsx","134"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\conta\login\page.tsx","131"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\lib\payment-checkout.ts","128"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\conta\pedidos\page.tsx","127"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\produtos\components\ProductListClient.tsx","127"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\sucesso\page.tsx","126"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\carrinho\components\ShippingSelector.tsx","125"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\store\useCartStore.ts","120"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\components\ui\table.tsx","116"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\conta\cadastro\page.tsx","113"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\components\admin\settings\LogisticsSection.tsx","111"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\components\views\admin-produtos\useProductForm.ts","109"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\lib\melhor-envio\shipping.ts","109"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\produtos\components\ProductTable.tsx","108"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\produtos\image-actions.ts","107"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\components\views\admin-produtos\ProductShippingSection.tsx","106"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\lib\store-shipping.ts","106"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\pedidos\actions.ts","105"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\produtos\page.tsx","104"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\categorias\components\CategoryTable.tsx","103"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\admin\(dashboard)\categorias\components\CategoryForm.tsx","103"
"C:\Users\Luiz\Desktop\loja-roupa-leticia\src\app\(storefront)\sucesso\components\StatusSummary.tsx","102"
